epoch,train_loss,train_acc,val_loss,val_acc
1,0.8473010372683034,59.868141216503616,0.5800025009357177,75.90019846895379
2,0.3913890044130976,83.44676024386786,0.3176599875562363,87.12787071165296
3,0.23614469684592856,91.03927406777258,0.22042363100089468,95.18003969379076
4,0.16141314454621672,93.53466609953212,0.3286946916466092,91.46583498724128
5,0.12973421916593703,95.33531830426769,0.1385401356126274,95.86050467819676
6,0.10302398426937628,96.11512831419255,0.0970179601173915,97.22143464700879
7,0.08543673685309425,96.8027789593081,0.09023928413217938,96.93790757017295
8,0.07501624991812124,97.32737842053027,0.11929230369115668,96.48426424723561
9,0.05627669172919548,97.92995888274493,0.07285976673157567,98.49730649277006
10,0.06868689082884452,97.29902169289664,0.09693330423780591,97.61837255457897
11,0.04913257872630354,98.1709910676308,0.07771065069240862,98.07201587751631
12,0.04573238385979048,98.22770452289805,0.1937562286442666,95.23674510915792
